rest_id,rest_name,rest_address,b_url,ad_nonad
130108,구수향,광주광역시 동구 예술길 23-6,https://blog.naver.com/PostView.naver?blogId=rxh0427&logNo=222574254976&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F37294495%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648783697029%26type%3DphotoView&directAccess=false,0
130108,구수향,광주광역시 동구 예술길 23-6,https://blog.naver.com/PostView.naver?blogId=dktjd36&logNo=222264753609&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F37294495%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648783697029%26type%3DphotoView&directAccess=false,0
148862,춘자생태탕,광주광역시 동구 제봉로98번길 3,https://blog.naver.com/PostView.naver?blogId=kkimddim&logNo=222534298175&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F13299204%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784050349%26type%3DphotoView&directAccess=false,0
148862,춘자생태탕,광주광역시 동구 제봉로98번길 3,https://blog.naver.com/PostView.naver?blogId=vera0611&logNo=222568465117&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F13299204%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784050349%26type%3DphotoView&directAccess=false,0
148862,춘자생태탕,광주광역시 동구 제봉로98번길 3,https://blog.naver.com/PostView.naver?blogId=dnwlstjs7&logNo=222611623676&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F13299204%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784050349%26type%3DphotoView&directAccess=false,0
148862,춘자생태탕,광주광역시 동구 제봉로98번길 3,https://blog.naver.com/PostView.naver?blogId=hyde3668&logNo=222616939306&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F13299204%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784050349%26type%3DphotoView&directAccess=false,0
148862,춘자생태탕,광주광역시 동구 제봉로98번길 3,https://blog.naver.com/PostView.naver?blogId=kbcyjyoo&logNo=222664388726&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F13299204%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784050349%26type%3DphotoView&directAccess=false,0
148889,참뫼,광주광역시 동구 중앙로196번길 23-12,https://blog.naver.com/PostView.naver?blogId=qmfldqmfld11&logNo=222543206522&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F15956072%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784368725%26type%3DphotoView&directAccess=false,0
148889,참뫼,광주광역시 동구 중앙로196번길 23-12,https://blog.naver.com/PostView.naver?blogId=2764754&logNo=222547878903&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F15956072%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784368725%26type%3DphotoView&directAccess=false,0
148889,참뫼,광주광역시 동구 중앙로196번길 23-12,https://blog.naver.com/PostView.naver?blogId=rlatmddk4497&logNo=222442440771&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F15956072%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784368725%26type%3DphotoView&directAccess=false,0
148889,참뫼,광주광역시 동구 중앙로196번길 23-12,https://blog.naver.com/PostView.naver?blogId=jeep303&logNo=222418801112&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F15956072%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784368725%26type%3DphotoView&directAccess=false,0
148889,참뫼,광주광역시 동구 중앙로196번길 23-12,https://blog.naver.com/PostView.naver?blogId=ywj0928&logNo=222668732669&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F15956072%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784368725%26type%3DphotoView&directAccess=false,0
171854,고봉민김밥인,광주광역시 동구 중앙로196번길 31-17,https://blog.naver.com/PostView.naver?blogId=ssungstar&logNo=221998077439&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F35296600%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648790320739%26type%3DphotoView&directAccess=false,0
171854,고봉민김밥인,광주광역시 동구 중앙로196번길 31-17,https://blog.naver.com/PostView.naver?blogId=lyk_filmmakers&logNo=222079279943&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F35296600%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648790320739%26type%3DphotoView&directAccess=false,0
171854,고봉민김밥인,광주광역시 동구 중앙로196번길 31-17,https://blog.naver.com/PostView.naver?blogId=hyang2lol&logNo=222249669316&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F35296600%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648784890587%26type%3DphotoView&directAccess=false,0
171854,고봉민김밥인,광주광역시 동구 중앙로196번길 31-17,https://blog.naver.com/PostView.naver?blogId=thddnjswnd&logNo=222352084239&redirect=Dlog&widgetTypeCall=true&topReferer=https%3A%2F%2Fpcmap.place.naver.com%2Frestaurant%2F35296600%2Freview%2Fugc%3Ffrom%3Dmap%26fromPanelNum%3D2%26ts%3D1648790320739%26type%3DphotoView&directAccess=false,0
